full_name,a,e,i,om,w,q,ad,H,diameter,ma,E_rad,E_deg
1566 Icarus (1949 MA),1.078,0.827,22.8,87.95,31.44,0.186,1.97,16.53,1000.0,-26.919999999999987,-1.2562733803279809,-71.9791626074266
1620 Geographos (1951 RA),1.246,0.3355,13.34,337.14,277.02,0.828,1.66,15.27,2560.0,32.91999999999999,0.8198207941133606,46.972271459759156
1685 Toro (1948 OA),1.368,0.436,9.38,274.21,127.28,0.771,1.96,14.28,3400.0,-97.32,-2.0793734918119355,-119.13932511220474
1862 Apollo (1932 HA),1.471,0.5599,6.35,35.54,286.05,0.647,2.29,16.08,1500.0,-66.12,-1.7086036212438447,-97.89577635804135
1863 Antinous (1948 EA),2.26,0.6063,18.38,345.55,269.07,0.89,3.63,15.46,2100.0,109.56,2.3454732431406966,134.38571779282347
1864 Daedalus (1971 FA),1.461,0.6144,22.22,6.6,325.66,0.563,2.36,14.84,3700.0,77.57,1.9292096099408298,110.53556844568936
1865 Cerberus (1971 UA),1.08,0.4669,16.1,212.88,325.29,0.576,1.58,16.79,1200.0,139.67000000000002,2.655730206246505,152.16213234333236
1866 Sisyphus (1972 XA),1.893,0.5381,41.21,63.45,293.1,0.875,2.91,12.48,8480.0,-39.34,-1.185202714317507,-67.90711339784258
1981 Midas (1973 EA),1.776,0.6505,39.82,356.79,267.84,0.621,2.93,15.25,3400.0,-114.65,-2.427200480722364,-139.068343577516
2062 Aten (1976 AA),0.967,0.1829,18.94,108.53,148.08,0.79,1.14,17.11,1100.0,-147.36,-2.657103951873714,-152.240842169896
2063 Bacchus (1977 HB),1.078,0.3494,9.43,33.04,55.35,0.701,1.45,17.21,1024.0,54.78999999999999,1.2921932219833285,74.03721793505622
2100 Ra-Shalom (1978 RA),0.832,0.4365,15.76,170.76,356.08,0.469,1.2,16.25,2300.0,69.11000000000001,1.6416032795847706,94.05693955504182
2101 Adonis (1936 CA),1.874,0.7641,1.32,349.41,43.71,0.442,3.31,18.69,600.0,-155.52,-2.8983616936900374,-166.06389255082823
2102 Tantalus (1975 YA),1.29,0.2994,64.01,94.35,61.5,0.904,1.68,16.0,1649.0,167.36,2.971626302239021,170.26164540836305
2135 Aristaeus (1977 HA),1.6,0.5031,23.07,191.11,290.98,0.795,2.4,18.05,,-142.82,-2.705286539405426,-155.0015010814828
2201 Oljato (1947 XC),2.179,0.7107,2.52,74.86,98.37,0.63,3.73,15.32,1800.0,-82.99,-2.071803265047045,-118.70558306861953
2212 Hephaistos (1978 SB),2.168,0.8347,11.2,26.57,210.46,0.358,3.98,13.5,5700.0,128.24,2.6397418158777164,151.24606505399322
2329 Orthos (1976 WA),2.411,0.6533,24.46,169.25,146.11,0.836,3.99,14.58,,-108.71,-2.3583181967007816,-135.12167941985788
2340 Hathor (1976 UA),0.8439,0.4499,5.86,211.28,40.12,0.464,1.22,20.43,300.0,21.97999999999999,0.6591693012880248,37.7676189483912
3103 Eger (1982 BB),1.404,0.3542,20.93,129.73,254.1,0.907,1.9,15.3,1500.0,1.1200000000000045,0.030266415229427444,1.7341378536366676
3200 Phaethon (1983 TB),1.271,0.8897,22.31,265.1,322.31,0.14,2.4,14.39,6250.0,-16.02000000000001,-1.0524150577362203,-60.29894110430229
3360 Syrinx (1981 VA),2.466,0.7474,21.07,242.24,63.71,0.623,4.31,16.04,1800.0,-28.78,-1.198506521855245,-68.6693654212093
3361 Orpheus (1982 HR),1.21,0.3232,2.65,188.44,302.65,0.819,1.6,19.56,300.0,140.55,2.615388858073781,149.85074335316756
3362 Khufu (1984 QA),0.9895,0.4685,9.92,152.4,55.09,0.526,1.45,18.52,700.0,-139.62,-2.6556414604086314,-152.1570475813729
3554 Amun (1986 EB),0.974,0.2806,23.36,358.6,359.41,0.701,1.25,15.91,3341.0,96.70999999999998,1.9487080014661597,111.65274398738438
3671 Dionysus (1984 KD),2.197,0.5438,13.53,82.02,204.43,1.002,3.39,16.49,1500.0,72.1,1.7892574220212918,102.51689874427802
3752 Camillo (1985 PA),1.414,0.3015,55.56,147.95,312.23,0.987,1.84,15.15,2306.0,63.34,1.4027441470179536,80.37131936080743
3753 Cruithne (1986 TO),0.9978,0.5149,19.8,126.19,43.88,0.484,1.51,15.44,2071.0,164.36,2.9610701591546733,169.6568229616937
3757 Anagolay (1982 XB),1.835,0.4459,3.87,74.93,17.24,1.017,2.65,19.01,500.0,-87.63,-1.9445487969347124,-111.41443912160078
3838 Epona (1986 WA),1.505,0.7027,29.2,235.46,49.73,0.447,2.56,15.63,,-100.65,-2.286810437004461,-131.02458658682303
4015 Wilson-Harrington (1979 VA),2.626,0.6309,2.8,266.72,95.52,0.969,4.28,16.19,4000.0,94.39999999999998,2.1689513929693076,124.27176078616219
4034 Vishnu (1986 PA),1.059,0.444,11.17,157.86,296.7,0.589,1.53,18.49,420.0,81.94999999999999,1.8563214800981207,106.35938622910055
4179 Toutatis (1989 AC),2.543,0.6247,0.45,125.37,277.86,0.954,4.13,15.29,5400.0,-103.11,-2.2755054590343686,-130.37685906164836
4183 Cuno (1959 LM),1.981,0.6362,6.67,294.35,237.02,0.721,3.24,14.16,3651.0,137.37,2.680577271094915,153.58576429243413
4197 Morpheus (1982 TA),2.295,0.7725,12.6,6.98,122.58,0.522,4.07,14.97,1800.0,-69.53,-1.9352802445457677,-110.88339018751834
4257 Ubasti (1987 QA),1.647,0.4684,40.72,169.14,278.96,0.876,2.42,15.98,,167.43,2.992008832536045,171.4294783701801
4341 Poseidon (1987 KF),1.834,0.6801,11.84,108.02,15.83,0.587,3.08,16.08,3177.0,22.69999999999999,0.9489962669202585,54.37348086820134
4450 Pan (1987 SY),1.442,0.5866,5.52,311.67,292.0,0.596,2.29,17.28,,-120.28999999999999,-2.466200765287876,-141.30289528292903
4486 Mithra (1987 SB),2.206,0.66,3.03,82.18,169.26,0.75,3.66,15.61,1849.0,96.29000000000002,2.2101969037984626,126.6349544805339
4544 Xanthus (1989 FB),1.042,0.2501,14.14,23.94,333.84,0.781,1.3,17.37,1300.0,-174.86,-3.0698181298764595,-175.88762271466433
4581 Asclepius (1989 FC),1.023,0.3569,4.92,180.2,255.39,0.658,1.39,20.74,,53.379999999999995,1.2728301522935115,72.927795763412
4660 Nereus (1982 DB),1.485,0.3588,1.45,313.11,159.54,0.952,2.02,18.75,330.0,-130.18,-2.489739464792509,-142.65156341977118
4769 Castalia (1989 PB),1.063,0.4832,8.89,325.5,121.45,0.549,1.58,17.4,1400.0,143.76999999999998,2.7109667169069698,155.3269512792064
4953 (1990 MU),1.621,0.6575,24.38,77.53,77.93,0.555,2.69,14.88,,-64.02,-1.762779981757097,-100.99985316482991
5011 Ptah (6743 P-L),1.636,0.5002,7.41,10.62,105.96,0.818,2.45,16.66,,-177.93,-3.117509544699456,-178.6201395030297
5131 (1990 BG),1.486,0.5689,36.45,110.33,135.88,0.641,2.33,14.83,,35.72,1.140463188846378,65.34372741092886
5143 Heracles (1991 VL),1.835,0.7712,8.98,309.1,228.21,0.42,3.25,14.06,4843.0,24.120000000000005,1.11263871054438,63.74950223707103
5189 (1990 UQ),1.552,0.4782,3.58,135.05,159.96,0.81,2.29,17.84,,-78.38,-1.8301910774880013,-104.86222444256309
5381 Sekhmet (1991 JY),0.9474,0.2964,48.97,58.53,37.43,0.667,1.23,16.72,935.0,86.62,1.8004240530410256,103.15669957308864
5496 (1973 NA),2.437,0.6342,68.02,101.02,117.92,0.891,3.98,16.15,,119.22000000000003,2.473608146869704,141.72730698481075
